Estado,Sigla,Ano,N_CASOS,Óbitos
Rio Grande do Norte,RN,2019,97,21
Rondônia,RO,2019,1,0
Roraima,RR,2019,14,3
Rio Grande do Sul,RS,2019,7,0
Santa Catarina,SC,2019,2,0
Sergipe,SE,2019,64,18
São Paulo,SP,2019,128,33
Tocantins,TO,2019,202,57
Alagoas,AL,2020,62,24
Amazonas,AM,2020,1,0
Amapá,AP,2020,1,0
Bahia,BA,2020,195,54
Ceará,CE,2020,227,39
Distrito Federal,DF,2020,19,9
Goiás,GO,2020,41,6
Maranhão,MA,2020,361,126
Minas Gerais,MG,2020,257,42
Mato Grosso do Sul,MS,2020,118,18
Mato Grosso,MT,2020,14,6
Pará,PA,2020,222,30
Paraíba,PB,2020,27,9
Pernambuco,PE,2020,118,30
Piauí,PI,2020,132,30
Paraná,PR,2020,3,0
Rio de Janeiro,RJ,2020,8,0
Rio Grande do Norte,RN,2020,68,12
Roraima,RR,2020,16,3
Rio Grande do Sul,RS,2020,9,6
Santa Catarina,SC,2020,3,0
Sergipe,SE,2020,56,12
São Paulo,SP,2020,118,33
Tocantins,TO,2020,126,30
Alagoas,AL,2021,56,9
Bahia,BA,2021,163,63
Ceará,CE,2021,214,54
Distrito Federal,DF,2021,23,3
Espírito Santo,ES,2021,2,0
Goiás,GO,2021,35,12
Maranhão,MA,2021,290,81
Minas Gerais,MG,2021,240,72
Mato Grosso do Sul,MS,2021,139,30
Mato Grosso,MT,2021,14,0
Pará,PA,2021,176,54
Paraíba,PB,2021,28,9
Pernambuco,PE,2021,103,21
Piauí,PI,2021,96,30
Paraná,PR,2021,3,0
Rio de Janeiro,RJ,2021,9,3
Rio Grande do Norte,RN,2021,59,24
Roraima,RR,2021,21,0
Rio Grande do Sul,RS,2021,5,3
Santa Catarina,SC,2021,1,0
Sergipe,SE,2021,45,18
São Paulo,SP,2021,90,27
Tocantins,TO,2021,124,21
Alagoas,AL,2022,32,18
Amapá,AP,2022,1,0
Bahia,BA,2022,114,30
Ceará,CE,2022,271,75
Distrito Federal,DF,2022,10,0
Goiás,GO,2022,20,3
Maranhão,MA,2022,327,60
Minas Gerais,MG,2022,222,84
Mato Grosso do Sul,MS,2022,173,63
Mato Grosso,MT,2022,25,9
Pará,PA,2022,155,18
Paraíba,PB,2022,47,9
Pernambuco,PE,2022,136,27
Piauí,PI,2022,132,33
Paraná,PR,2022,2,0
Rio de Janeiro,RJ,2022,18,6
Rio Grande do Norte,RN,2022,80,15
Roraima,RR,2022,17,0
Rio Grande do Sul,RS,2022,5,0
Santa Catarina,SC,2022,3,0
Sergipe,SE,2022,59,18
São Paulo,SP,2022,131,33
Tocantins,TO,2022,115,21
Espírito Santo,ES,2007,0,0
Rio Grande do Sul,RS,2007,0,0
Acre,AC,2007,0,0
Rondônia,RO,2008,0,0
Rio de Janeiro,RJ,2008,0,0
Rio Grande do Sul,RS,2008,0,0
Acre,AC,2008,0,0
Santa Catarina,SC,2009,0,0
Rondônia,RO,2009,0,0
Amapá,AP,2009,0,0
Acre,AC,2009,0,0
Santa Catarina,SC,2010,0,0
Rondônia,RO,2010,0,0
Amapá,AP,2010,0,0
Acre,AC,2010,0,0
Amapá,AP,2011,0,0
Acre,AC,2011,0,0
Amapá,AP,2012,0,0
Rio Grande do Sul,RS,2012,0,0
Acre,AC,2012,0,0
Paraná,PR,2013,0,0
Amapá,AP,2013,0,0
Amazonas,AM,2013,0,0
Acre,AC,2013,0,0
Santa Catarina,SC,2014,0,0
Rondônia,RO,2014,0,0
Amapá,AP,2014,0,0
Acre,AC,2014,0,0
Santa Catarina,SC,2015,0,0
Rondônia,RO,2015,0,0
Amapá,AP,2015,0,0
Amazonas,AM,2015,0,0
Acre,AC,2015,0,0
Rondônia,RO,2016,0,0
Acre,AC,2016,0,0
Rondônia,RO,2017,0,0
Amapá,AP,2017,0,0
Amazonas,AM,2017,0,0
Acre,AC,2017,0,0
Santa Catarina,SC,2018,0,0
Rondônia,RO,2018,0,0
Acre,AC,2018,0,0
Amapá,AP,2019,0,0
Acre,AC,2019,0,0
Rondônia,RO,2020,0,0
Espírito Santo,ES,2020,0,0
Acre,AC,2020,0,0
Rondônia,RO,2021,0,0
Amapá,AP,2021,0,0
Amazonas,AM,2021,0,0
Acre,AC,2021,0,0
Rondônia,RO,2022,0,0
Espírito Santo,ES,2022,0,0
Amazonas,AM,2022,0,0
Acre,AC,2022,0,0
