Estado,Sigla,Ano,N_CASOS,Óbitos
Acre,AC,2013,0,0
Roraima,RR,2013,0,0
Piauí,PI,2013,0,0
Alagoas,AL,2013,0,0
Sergipe,SE,2013,0,0
Goiás,GO,2014,0,0
Mato Grosso do Sul,MS,2014,0,0
Bahia,BA,2014,0,0
Rondônia,RO,2014,0,0
Pará,PA,2014,0,0
Distrito Federal,DF,2014,0,0
Tocantins,TO,2014,0,0
Maranhão,MA,2014,0,0
Mato Grosso,MT,2014,0,0
Paraíba,PB,2014,0,0
Amazonas,AM,2014,0,0
Amapá,AP,2014,0,0
Rio Grande do Norte,RN,2014,0,0
Pernambuco,PE,2014,0,0
Acre,AC,2014,0,0
Roraima,RR,2014,0,0
Piauí,PI,2014,0,0
Alagoas,AL,2014,0,0
Sergipe,SE,2014,0,0
Rio Grande do Sul,RS,2015,0,0
Bahia,BA,2015,0,0
Pará,PA,2015,0,0
Distrito Federal,DF,2015,0,0
Tocantins,TO,2015,0,0
Maranhão,MA,2015,0,0
Mato Grosso,MT,2015,0,0
Paraíba,PB,2015,0,0
Amazonas,AM,2015,0,0
Amapá,AP,2015,0,0
Rio Grande do Norte,RN,2015,0,0
Acre,AC,2015,0,0
Roraima,RR,2015,0,0
Piauí,PI,2015,0,0
Alagoas,AL,2015,0,0
Sergipe,SE,2015,0,0
Rio Grande do Sul,RS,2016,0,0
Pará,PA,2016,0,0
Tocantins,TO,2016,0,0
Maranhão,MA,2016,0,0
Mato Grosso,MT,2016,0,0
Paraíba,PB,2016,0,0
Amazonas,AM,2016,0,0
Amapá,AP,2016,0,0
Rio Grande do Norte,RN,2016,0,0
Pernambuco,PE,2016,0,0
Acre,AC,2016,0,0
Roraima,RR,2016,0,0
Piauí,PI,2016,0,0
Alagoas,AL,2016,0,0
Sergipe,SE,2016,0,0
Mato Grosso do Sul,MS,2017,0,0
Bahia,BA,2017,0,0
Pará,PA,2017,0,0
Distrito Federal,DF,2017,0,0
Tocantins,TO,2017,0,0
Maranhão,MA,2017,0,0
Mato Grosso,MT,2017,0,0
Paraíba,PB,2017,0,0
Amazonas,AM,2017,0,0
Amapá,AP,2017,0,0
Rio Grande do Norte,RN,2017,0,0
Pernambuco,PE,2017,0,0
Acre,AC,2017,0,0
Roraima,RR,2017,0,0
Piauí,PI,2017,0,0
Alagoas,AL,2017,0,0
Sergipe,SE,2017,0,0
Rondônia,RO,2018,0,0
Pará,PA,2018,0,0
Tocantins,TO,2018,0,0
Mato Grosso,MT,2018,0,0
Paraíba,PB,2018,0,0
Amazonas,AM,2018,0,0
Amapá,AP,2018,0,0
Rio Grande do Norte,RN,2018,0,0
Acre,AC,2018,0,0
Roraima,RR,2018,0,0
Piauí,PI,2018,0,0
Sergipe,SE,2018,0,0
Mato Grosso do Sul,MS,2019,0,0
Pará,PA,2019,0,0
Tocantins,TO,2019,0,0
Maranhão,MA,2019,0,0
Paraíba,PB,2019,0,0
Amapá,AP,2019,0,0
Rio Grande do Norte,RN,2019,0,0
Pernambuco,PE,2019,0,0
Acre,AC,2019,0,0
Roraima,RR,2019,0,0
Piauí,PI,2019,0,0
Alagoas,AL,2019,0,0
Sergipe,SE,2019,0,0
Espírito Santo,ES,2020,0,0
Rio Grande do Sul,RS,2020,0,0
Mato Grosso do Sul,MS,2020,0,0
Bahia,BA,2020,0,0
Rondônia,RO,2020,0,0
